experiment,condition,protocol,genotype,pupilSize,freq,level,mag,phi
1,Awake,Singletone,Alpha9KO,Small,7000,50,5.54652479670058,5.54652479670058
1,Awake,Singletone,Alpha9KO,Small,8000,50,9.17423465519078,9.17423465519078
1,Awake,Singletone,Alpha9KO,Small,9000,50,19.6659441106644,19.6659441106644
1,Awake,Singletone,Alpha9KO,Small,10000,50,14.0390728904541,14.0390728904541
1,Awake,Singletone,Alpha9KO,Small,11000,50,6.11240734611686,6.11240734611686
1,Awake,Singletone,Alpha9KO,Small,12000,50,1.59551745235058,1.59551745235058
1,Awake,Singletone,Alpha9KO,Small,13000,50,0.44081776441138,0.44081776441138
1,Awake,Singletone,Alpha9KO,Small,5000,50,1.99323042541108,1.99323042541108
1,Awake,Singletone,Alpha9KO,Small,6000,50,4.77736996689083,4.77736996689083
1,Awake,Singletone,Alpha9KO,Small,7000,50,7.95026117923684,7.95026117923684
1,Awake,Singletone,Alpha9KO,Small,8000,50,22.5896697109723,22.5896697109723
1,Awake,Singletone,Alpha9KO,Small,9000,50,38.7345936971667,38.7345936971667
1,Awake,Singletone,Alpha9KO,Small,10000,50,29.7867450737233,29.7867450737233
1,Awake,Singletone,Alpha9KO,Small,11000,50,9.90445131240859,9.90445131240859
1,Awake,Singletone,Alpha9KO,Small,12000,50,0.817702931440137,0.817702931440137
1,Awake,Singletone,Alpha9KO,Small,13000,50,0.60157601521209,0.60157601521209
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.83533418238895,2.83533418238895
1,Awake,Singletone,Alpha9KO,Small,6000,50,5.12202890202766,5.12202890202766
1,Awake,Singletone,Alpha9KO,Small,7000,50,10.7482417613528,10.7482417613528
1,Awake,Singletone,Alpha9KO,Small,8000,50,15.6544680708276,15.6544680708276
1,Awake,Singletone,Alpha9KO,Small,9000,50,40.8179322150256,40.8179322150256
1,Awake,Singletone,Alpha9KO,Small,10000,50,30.3216502039318,30.3216502039318
1,Awake,Singletone,Alpha9KO,Small,11000,50,13.1188159916097,13.1188159916097
1,Awake,Singletone,Alpha9KO,Small,12000,50,1.99650174972465,1.99650174972465
1,Awake,Singletone,Alpha9KO,Small,13000,50,NaN,NaN
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.37549684234537,2.37549684234537
1,Awake,Singletone,Alpha9KO,Small,6000,50,5.09673525892395,5.09673525892395
1,Awake,Singletone,Alpha9KO,Small,7000,50,6.16198675481496,6.16198675481496
1,Awake,Singletone,Alpha9KO,Small,8000,50,16.6286777380156,16.6286777380156
1,Awake,Singletone,Alpha9KO,Small,9000,50,39.7407911092376,39.7407911092376
1,Awake,Singletone,Alpha9KO,Small,10000,50,28.6040996287839,28.6040996287839
1,Awake,Singletone,Alpha9KO,Small,11000,50,15.118567804913,15.118567804913
1,Awake,Singletone,Alpha9KO,Small,12000,50,2.47598276757366,2.47598276757366
1,Awake,Singletone,Alpha9KO,Small,13000,50,0.943787795668054,0.943787795668054
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.25318543331657,2.25318543331657
1,Awake,Singletone,Alpha9KO,Small,6000,50,4.48540911370052,4.48540911370052
1,Awake,Singletone,Alpha9KO,Small,7000,50,8.67562760795416,8.67562760795416
1,Awake,Singletone,Alpha9KO,Small,8000,50,18.5518074490184,18.5518074490184
1,Awake,Singletone,Alpha9KO,Small,9000,50,31.582341790475,31.582341790475
1,Awake,Singletone,Alpha9KO,Small,10000,50,28.7245758597861,28.7245758597861
1,Awake,Singletone,Alpha9KO,Small,11000,50,12.3330767041471,12.3330767041471
1,Awake,Singletone,Alpha9KO,Small,12000,50,1.96687979147136,1.96687979147136
1,Awake,Singletone,Alpha9KO,Small,13000,50,0.979055927391494,0.979055927391494
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.39699792023246,2.39699792023246
1,Awake,Singletone,Alpha9KO,Small,6000,50,4.50887289231313,4.50887289231313
1,Awake,Singletone,Alpha9KO,Small,7000,50,7.05415395106973,7.05415395106973
1,Awake,Singletone,Alpha9KO,Small,8000,50,14.6090228062581,14.6090228062581
1,Awake,Singletone,Alpha9KO,Small,9000,50,24.9176912232794,24.9176912232794
1,Awake,Singletone,Alpha9KO,Small,10000,50,19.8554813827318,19.8554813827318
1,Awake,Singletone,Alpha9KO,Small,11000,50,11.0262660058454,11.0262660058454
1,Awake,Singletone,Alpha9KO,Small,12000,50,1.69533809108725,1.69533809108725
1,Awake,Singletone,Alpha9KO,Small,13000,50,NaN,NaN
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.97354556947389,2.97354556947389
1,Awake,Singletone,Alpha9KO,Small,6000,50,5.50413589650738,5.50413589650738
1,Awake,Singletone,Alpha9KO,Small,7000,50,8.41092433294268,8.41092433294268
1,Awake,Singletone,Alpha9KO,Small,8000,50,20.5901608691978,20.5901608691978
1,Awake,Singletone,Alpha9KO,Small,9000,50,47.9145497236735,47.9145497236735
1,Awake,Singletone,Alpha9KO,Small,10000,50,30.6461952258804,30.6461952258804
1,Awake,Singletone,Alpha9KO,Small,11000,50,19.1758253913027,19.1758253913027
1,Awake,Singletone,Alpha9KO,Small,12000,50,0.959067947577707,0.959067947577707
1,Awake,Singletone,Alpha9KO,Small,13000,50,0.743054103455881,0.743054103455881
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.66037575910019,2.66037575910019
1,Awake,Singletone,Alpha9KO,Small,6000,50,4.10105084183189,4.10105084183189
1,Awake,Singletone,Alpha9KO,Small,7000,50,7.88766017366465,7.88766017366465
1,Awake,Singletone,Alpha9KO,Small,8000,50,13.5376232257296,13.5376232257296
1,Awake,Singletone,Alpha9KO,Small,9000,50,16.7766534783542,16.7766534783542
1,Awake,Singletone,Alpha9KO,Small,10000,50,17.8051812495422,17.8051812495422
1,Awake,Singletone,Alpha9KO,Small,11000,50,7.80971303832195,7.80971303832195
1,Awake,Singletone,Alpha9KO,Small,12000,50,1.36200003181557,1.36200003181557
1,Awake,Singletone,Alpha9KO,Small,13000,50,0.662268643940601,0.662268643940601
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.30805284252188,2.30805284252188
1,Awake,Singletone,Alpha9KO,Small,6000,50,3.67558334798412,3.67558334798412
1,Awake,Singletone,Alpha9KO,Small,7000,50,6.46829795344633,6.46829795344633
1,Awake,Singletone,Alpha9KO,Small,8000,50,12.999908246703,12.999908246703
1,Awake,Singletone,Alpha9KO,Small,9000,50,33.9181734362975,33.9181734362975
1,Awake,Singletone,Alpha9KO,Small,10000,50,27.2545859263778,27.2545859263778
1,Awake,Singletone,Alpha9KO,Small,11000,50,11.0579617774678,11.0579617774678
1,Awake,Singletone,Alpha9KO,Small,12000,50,3.29397226133979,3.29397226133979
1,Awake,Singletone,Alpha9KO,Small,13000,50,1.09317328333296,1.09317328333296
1,Awake,Singletone,Alpha9KO,Small,5000,50,1.81773608283312,1.81773608283312
1,Awake,Singletone,Alpha9KO,Small,6000,50,3.32179377137798,3.32179377137798
1,Awake,Singletone,Alpha9KO,Small,7000,50,5.65190794003293,5.65190794003293
1,Awake,Singletone,Alpha9KO,Small,8000,50,13.2427059687829,13.2427059687829
1,Awake,Singletone,Alpha9KO,Small,9000,50,22.0120610015551,22.0120610015551
1,Awake,Singletone,Alpha9KO,Small,10000,50,19.0326675838454,19.0326675838454
1,Awake,Singletone,Alpha9KO,Small,11000,50,7.91220979777978,7.91220979777978
1,Awake,Singletone,Alpha9KO,Small,12000,50,2.50197417278929,2.50197417278929
1,Awake,Singletone,Alpha9KO,Small,13000,50,0.709214523307382,0.709214523307382
1,Awake,Singletone,Alpha9KO,Small,5000,50,3.5519684732422,3.5519684732422
1,Awake,Singletone,Alpha9KO,Small,6000,50,4.13660966493319,4.13660966493319
1,Awake,Singletone,Alpha9KO,Small,7000,50,8.37149773880757,8.37149773880757
1,Awake,Singletone,Alpha9KO,Small,8000,50,17.634009324178,17.634009324178
1,Awake,Singletone,Alpha9KO,Small,9000,50,31.3476067105363,31.3476067105363
1,Awake,Singletone,Alpha9KO,Small,10000,50,26.9132688709118,26.9132688709118
1,Awake,Singletone,Alpha9KO,Small,11000,50,6.16946027005025,6.16946027005025
1,Awake,Singletone,Alpha9KO,Small,12000,50,0.785283831202306,0.785283831202306
1,Awake,Singletone,Alpha9KO,Small,13000,50,0.396377893305967,0.396377893305967
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.33519771466948,2.33519771466948
1,Awake,Singletone,Alpha9KO,Small,6000,50,2.91854754934501,2.91854754934501
1,Awake,Singletone,Alpha9KO,Small,7000,50,6.67570000801278,6.67570000801278
