experiment,condition,protocol,genotype,pupilSize,level,q,bf
10,Anesth,Multitone,Alpha9KO,na,20,4.93861532796747,10794.935483871
10,Anesth,Multitone,Alpha9KO,na,30,4.37553066754587,10680.5483870968
10,Anesth,Multitone,Alpha9KO,na,40,2.88248245200715,10325.5806451613
10,Anesth,Multitone,Alpha9KO,na,50,2.30664325999437,9901.41935483871
10,Anesth,Multitone,Alpha9KO,na,60,1.7452915864107,8954.37096774194
10,Anesth,Multitone,Alpha9KO,na,70,1.3367446588471,8332.83870967742
10,Anesth,Multitone,Alpha9KO,na,80,1.1199701259399,7138.3064516129
11,Anesth,Multitone,Alpha9KO,na,10,4.7901844613918,10926.2950819672
11,Anesth,Multitone,Alpha9KO,na,20,4.87342154387224,10824.6470588235
11,Anesth,Multitone,Alpha9KO,na,30,4.03630223672599,10520.1609195402
11,Anesth,Multitone,Alpha9KO,na,40,2.69985570085404,10242.0689655172
11,Anesth,Multitone,Alpha9KO,na,50,2.18497138576987,9614.63218390805
11,Anesth,Multitone,Alpha9KO,na,60,1.78008202865348,8920.93103448276
11,Anesth,Multitone,Alpha9KO,na,70,1.38545980550725,8422.13793103448
11,Anesth,Multitone,Alpha9KO,na,80,1.18410618546453,7163.2183908046
12,Anesth,Multitone,Alpha9KO,na,10,4.7901844613918,11272.5694444444
12,Anesth,Multitone,Alpha9KO,na,20,4.7174015215988,11125.5505617978
12,Anesth,Multitone,Alpha9KO,na,30,4.16889249788759,10896.1011235955
12,Anesth,Multitone,Alpha9KO,na,40,2.80502840300103,10500.0786516854
12,Anesth,Multitone,Alpha9KO,na,50,2.34452594274329,10074.8202247191
12,Anesth,Multitone,Alpha9KO,na,60,1.88946318623972,9390.44943820225
12,Anesth,Multitone,Alpha9KO,na,70,1.49324275681608,8816.14606741573
12,Anesth,Multitone,Alpha9KO,na,80,1.28984270342113,7745.83146067416
