experiment,condition,protocol,genotype,pupilSize,freq,level,mag,phi
2,Awake,Multitone,WT,Small,8298,30,0.792432839759412,-2.09794966432607
2,Awake,Multitone,WT,Small,8838,30,0.81005104378709,-2.36125614729135
2,Awake,Multitone,WT,Small,9380,30,1.3225374913806,-2.62884121298327
2,Awake,Multitone,WT,Small,9925,30,1.1911543634949,-2.32196961195924
2,Awake,Multitone,WT,Small,10473,30,2.03450287391056,-2.3603997173766
2,Awake,Multitone,WT,Small,11023,30,1.94772571577702,-2.88343355898759
2,Awake,Multitone,WT,Small,11575,30,1.94043523334406,-3.16656221244741
2,Awake,Multitone,WT,Small,12130,30,3.5110870923298,-3.05970244481513
2,Awake,Multitone,WT,Small,12688,30,0.982884364991962,-3.24137949964505
2,Awake,Multitone,WT,Small,13248,30,0.661905301097598,-3.33959640137478
2,Awake,Multitone,WT,Small,13810,30,0.546524607687608,-3.25735444075336
2,Awake,Multitone,WT,Small,14375,30,0.444482267873122,-2.39445080512303
2,Awake,Multitone,WT,Small,4068,40,0.660519782821953,-0.104938994000665
2,Awake,Multitone,WT,Small,4588,40,0.653982355228536,-0.351760896836265
2,Awake,Multitone,WT,Small,5110,40,0.57282283945905,-0.60896574358381
2,Awake,Multitone,WT,Small,5635,40,0.84127297280995,-0.661103819671318
2,Awake,Multitone,WT,Small,6163,40,0.695875015184503,-1.04196585983034
2,Awake,Multitone,WT,Small,6693,40,0.739019469527266,-1.34608996744701
2,Awake,Multitone,WT,Small,7225,40,0.767118075002113,-1.53038282124757
2,Awake,Multitone,WT,Small,7760,40,0.878598989242853,-1.65282549002393
2,Awake,Multitone,WT,Small,8298,40,1.19348591532418,-2.07669919407851
2,Awake,Multitone,WT,Small,8838,40,1.91716681920686,-2.39107144659005
2,Awake,Multitone,WT,Small,9380,40,2.96279753102504,-2.66291556958068
2,Awake,Multitone,WT,Small,9925,40,2.81589725270739,-2.33604711300822
2,Awake,Multitone,WT,Small,10473,40,4.05689087449202,-2.39028558714962
2,Awake,Multitone,WT,Small,11023,40,3.43450978811838,-2.91531285401923
2,Awake,Multitone,WT,Small,11575,40,2.71604816878023,-3.18387817397469
2,Awake,Multitone,WT,Small,12130,40,4.39991471870231,-3.0338129326619
2,Awake,Multitone,WT,Small,12688,40,1.44270027937562,-3.16239541161537
2,Awake,Multitone,WT,Small,13248,40,0.892180802716983,-3.38960006620578
2,Awake,Multitone,WT,Small,13810,40,0.682296618687087,-3.36548875370759
2,Awake,Multitone,WT,Small,14375,40,0.486829022293671,-3.1511750141127
2,Awake,Multitone,WT,Small,4068,50,0.828648094028537,-0.058296656502617
2,Awake,Multitone,WT,Small,4588,50,0.855154620104408,-0.316452554789045
2,Awake,Multitone,WT,Small,5110,50,0.978400649261004,-0.585863036509409
2,Awake,Multitone,WT,Small,5635,50,1.05823096190828,-0.644689069437481
2,Awake,Multitone,WT,Small,6163,50,1.05887483660531,-1.04551788275205
2,Awake,Multitone,WT,Small,6693,50,1.34833612552477,-1.33820190117236
2,Awake,Multitone,WT,Small,7225,50,1.60585534207863,-1.56545398664653
2,Awake,Multitone,WT,Small,7760,50,1.90036714118847,-1.64659319639537
2,Awake,Multitone,WT,Small,8298,50,2.7379273496277,-2.07408732464102
2,Awake,Multitone,WT,Small,8838,50,3.90869267063711,-2.40909401282507
2,Awake,Multitone,WT,Small,9380,50,5.61895176307273,-2.69250980000009
2,Awake,Multitone,WT,Small,9925,50,5.25213399928136,-2.37985612602465
2,Awake,Multitone,WT,Small,10473,50,6.29613222824923,-2.42184438990302
2,Awake,Multitone,WT,Small,11023,50,4.17570441212063,-2.92816262903399
2,Awake,Multitone,WT,Small,11575,50,3.58439965092296,-3.18085271943661
2,Awake,Multitone,WT,Small,12130,50,4.38928237716954,-2.9929855081457
2,Awake,Multitone,WT,Small,12688,50,1.87741782422745,-3.10030823047466
2,Awake,Multitone,WT,Small,13248,50,1.0147556504217,-3.3209059813461
2,Awake,Multitone,WT,Small,13810,50,0.724570653228965,-3.63573846758703
2,Awake,Multitone,WT,Small,14375,50,0.456887829667955,-3.7968068716056
2,Awake,Multitone,WT,Small,4068,60,1.18522809043546,-0.0701271687152828
2,Awake,Multitone,WT,Small,4588,60,1.25977216489577,-0.323059531114671
2,Awake,Multitone,WT,Small,5110,60,1.68623436878119,-0.575576686903573
2,Awake,Multitone,WT,Small,5635,60,2.28400650243143,-0.645219859671535
2,Awake,Multitone,WT,Small,6163,60,2.25623833084466,-1.03999454489715
2,Awake,Multitone,WT,Small,6693,60,2.85543877029256,-1.33600859246287
2,Awake,Multitone,WT,Small,7225,60,3.15296767594154,-1.55248886587148
2,Awake,Multitone,WT,Small,7760,60,3.97918025417145,-1.64657733394366
2,Awake,Multitone,WT,Small,8298,60,5.44429761559905,-2.07276963316452
2,Awake,Multitone,WT,Small,8838,60,6.60424997982577,-2.41695229636142
2,Awake,Multitone,WT,Small,9380,60,8.62419286275057,-2.71064924048907
2,Awake,Multitone,WT,Small,9925,60,7.57502489786718,-2.40870311292122
2,Awake,Multitone,WT,Small,10473,60,7.88343078763735,-2.43466610165509
2,Awake,Multitone,WT,Small,11023,60,4.54293512342696,-2.90386960431102
2,Awake,Multitone,WT,Small,11575,60,3.95432935737671,-3.18284240626051
2,Awake,Multitone,WT,Small,12130,60,3.83222114125207,-2.92297469496547
2,Awake,Multitone,WT,Small,12688,60,2.00591515018835,-3.03998531996873
2,Awake,Multitone,WT,Small,13248,60,0.988039287650579,-3.28122033518207
2,Awake,Multitone,WT,Small,13810,60,0.722836649217983,-2.57150945808632
2,Awake,Multitone,WT,Small,14375,60,NaN,NaN
2,Awake,Multitone,WT,Small,4068,70,2.13336242862754,-0.0669700610179682
2,Awake,Multitone,WT,Small,4588,70,2.2311183642845,-0.329910072468746
2,Awake,Multitone,WT,Small,5110,70,3.05078987113287,-0.572408360895362
2,Awake,Multitone,WT,Small,5635,70,3.96738104867754,-0.647141779694948
2,Awake,Multitone,WT,Small,6163,70,4.37309446201391,-1.03490559921772
2,Awake,Multitone,WT,Small,6693,70,5.21459038323444,-1.33553221575096
2,Awake,Multitone,WT,Small,7225,70,5.73319770707787,-1.55209568641752
2,Awake,Multitone,WT,Small,7760,70,6.53079545299431,-1.63680754277497
2,Awake,Multitone,WT,Small,8298,70,8.04246660280034,-2.08064072415423
2,Awake,Multitone,WT,Small,8838,70,8.83506757199448,-2.42377477156953
