experiment,condition,protocol,genotype,pupilSize,freq,gain1,gain2
11,Awake,Multitone,Alpha9KO,na,4068,24.9261749922759,18.8122558396419
11,Awake,Multitone,Alpha9KO,na,4588,17.6716293959421,14.9505088678431
11,Awake,Multitone,Alpha9KO,na,5110,12.4812689930098,14.8838309845613
11,Awake,Multitone,Alpha9KO,na,5635,11.5744817390468,14.8788926599468
11,Awake,Multitone,Alpha9KO,na,6163,11.3535332769949,15.6962115982875
11,Awake,Multitone,Alpha9KO,na,6693,11.4438843851148,16.2102878301786
11,Awake,Multitone,Alpha9KO,na,7225,10.29262813394,17.4136395867925
11,Awake,Multitone,Alpha9KO,na,7760,9.61205603778928,17.9282908483361
11,Awake,Multitone,Alpha9KO,na,8298,12.7433167937139,20.0331190204494
11,Awake,Multitone,Alpha9KO,na,8838,17.3768352583549,22.929762969597
11,Awake,Multitone,Alpha9KO,na,9380,24.3829954127382,25.9259779342421
11,Awake,Multitone,Alpha9KO,na,9925,28.1135035946405,26.0768369188777
11,Awake,Multitone,Alpha9KO,na,10473,26.9188574802858,25.6571581135655
11,Awake,Multitone,Alpha9KO,na,11023,30.6337103870858,26.9567674017392
11,Awake,Multitone,Alpha9KO,na,11575,33.7095937047529,28.3973622611572
11,Awake,Multitone,Alpha9KO,na,12130,33.7427429899402,28.2864961448022
11,Awake,Multitone,Alpha9KO,na,12688,32.1863571756878,27.3424911619582
11,Awake,Multitone,Alpha9KO,na,13248,NaN,27.5026703316304
11,Awake,Multitone,Alpha9KO,na,13810,32.3594954643008,25.9320821577415
11,Awake,Multitone,Alpha9KO,na,14375,NaN,NaN
12,Awake,Multitone,Alpha9KO,na,4068,24.2440379439302,18.4193765345156
12,Awake,Multitone,Alpha9KO,na,4588,16.6790367600594,14.8026043813404
12,Awake,Multitone,Alpha9KO,na,5110,12.6543410953863,14.4195507621082
12,Awake,Multitone,Alpha9KO,na,5635,9.65088095227132,14.6513770274993
12,Awake,Multitone,Alpha9KO,na,6163,10.9056743559536,15.6298974652338
12,Awake,Multitone,Alpha9KO,na,6693,12.6413444814223,16.0402529787975
12,Awake,Multitone,Alpha9KO,na,7225,10.3520374480909,16.7163690543797
12,Awake,Multitone,Alpha9KO,na,7760,9.44766241856194,16.8497871699427
12,Awake,Multitone,Alpha9KO,na,8298,12.6296913471427,18.9235944082436
12,Awake,Multitone,Alpha9KO,na,8838,18.2286568498363,22.1274783992813
12,Awake,Multitone,Alpha9KO,na,9380,24.0768242873796,24.6254901891772
12,Awake,Multitone,Alpha9KO,na,9925,26.6838169703846,25.0287453474288
12,Awake,Multitone,Alpha9KO,na,10473,23.9342539863425,24.5425485995906
12,Awake,Multitone,Alpha9KO,na,11023,29.4789425131373,26.949874837016
12,Awake,Multitone,Alpha9KO,na,11575,32.6357533666007,27.8960679572004
12,Awake,Multitone,Alpha9KO,na,12130,29.0095626015182,25.8748083436034
