experiment,condition,protocol,genotype,pupilSize,freq,level,mag,phi
1,Awake,Multitone,WT,na,10473,80,4.24341317025147,-1.79720127125987
1,Awake,Multitone,WT,na,11023,80,2.75987152054932,-2.16168405331361
1,Awake,Multitone,WT,na,11575,80,1.47139664344511,-2.53095019551353
1,Awake,Multitone,WT,na,12130,80,1.03988421873308,-2.17404995216218
1,Awake,Multitone,WT,na,12688,80,0.779601230434683,-2.2963675813435
1,Awake,Multitone,WT,na,13248,80,0.933714403827241,-2.21010418365017
1,Awake,Multitone,WT,na,13810,80,0.685144979238085,-2.39250902397306
1,Awake,Multitone,WT,na,14375,80,NaN,NaN
2,Awake,Multitone,WT,na,4068,10,0.728840834087193,-0.163126730442252
2,Awake,Multitone,WT,na,4588,10,0.667473123243403,-0.540470802041167
2,Awake,Multitone,WT,na,5110,10,0.640557125165897,-0.693530165359389
2,Awake,Multitone,WT,na,5635,10,0.616735371269064,-0.684408017651575
2,Awake,Multitone,WT,na,6163,10,0.541604080829044,-1.02270984672865
2,Awake,Multitone,WT,na,6693,10,0.630120032199911,-1.57190515526639
2,Awake,Multitone,WT,na,7225,10,0.543177722116105,-1.4652827657504
2,Awake,Multitone,WT,na,7760,10,0.597628211806026,-1.37439560202961
2,Awake,Multitone,WT,na,8298,10,0.617635164278303,-2.3316860989166
2,Awake,Multitone,WT,na,8838,10,0.586252642564943,-2.39887187772164
2,Awake,Multitone,WT,na,9380,10,0.633121403610466,-2.6735692129772
2,Awake,Multitone,WT,na,9925,10,0.701678436649745,-2.37726302287729
2,Awake,Multitone,WT,na,10473,10,0.7072951912817,-2.3169173275935
2,Awake,Multitone,WT,na,11023,10,0.796087944512443,-2.87519374394601
2,Awake,Multitone,WT,na,11575,10,1.01036134555849,-3.2226536819806
2,Awake,Multitone,WT,na,12130,10,1.36962792606133,-3.12737814935797
2,Awake,Multitone,WT,na,12688,10,0.731354689248816,-3.37325345009872
2,Awake,Multitone,WT,na,13248,10,0.6392049716287,-3.31788555643789
2,Awake,Multitone,WT,na,13810,10,0.684081077411676,-2.86497138266595
2,Awake,Multitone,WT,na,14375,10,0.685918149052745,-2.81593107005772
2,Awake,Multitone,WT,na,4068,20,0.944738818964389,0.319993900953017
2,Awake,Multitone,WT,na,4588,20,0.656865987269663,-0.261191797402256
2,Awake,Multitone,WT,na,5110,20,0.632667988064536,-0.5965864706836
2,Awake,Multitone,WT,na,5635,20,0.644517904713671,-0.761233568462695
2,Awake,Multitone,WT,na,6163,20,0.81123740624867,-1.26329701124694
2,Awake,Multitone,WT,na,6693,20,0.57572736830704,-1.23536618299493
2,Awake,Multitone,WT,na,7225,20,0.584172520756739,-1.55605497846526
2,Awake,Multitone,WT,na,7760,20,0.651102028003121,-1.69976014003075
2,Awake,Multitone,WT,na,8298,20,0.758161949618037,-2.1070268976425
2,Awake,Multitone,WT,na,8838,20,0.627811787166692,-2.33845326563442
2,Awake,Multitone,WT,na,9380,20,0.795574527232813,-2.628103645537
2,Awake,Multitone,WT,na,9925,20,0.65298874110769,-2.31776688498503
2,Awake,Multitone,WT,na,10473,20,1.07041865669419,-2.34203364465519
2,Awake,Multitone,WT,na,11023,20,1.20087773758216,-2.86527557729412
2,Awake,Multitone,WT,na,11575,20,1.50814137639687,-3.18226662052679
2,Awake,Multitone,WT,na,12130,20,2.57287668444994,-3.0997692863097
2,Awake,Multitone,WT,na,12688,20,0.9132462116068,-3.3516060132522
2,Awake,Multitone,WT,na,13248,20,0.57488977852254,-3.46617490487979
2,Awake,Multitone,WT,na,13810,20,0.621203040013926,-3.34640058384284
2,Awake,Multitone,WT,na,14375,20,0.669023810448498,-2.93785001837452
2,Awake,Multitone,WT,na,4068,30,0.530755255693677,-0.0464591401520823
2,Awake,Multitone,WT,na,4588,30,0.513011190801222,-0.3763375629215
2,Awake,Multitone,WT,na,5110,30,0.569652171008516,-0.599845274701283
2,Awake,Multitone,WT,na,5635,30,0.603230162153271,-0.68255549752274
2,Awake,Multitone,WT,na,6163,30,0.646415666838455,-1.08127155867541
2,Awake,Multitone,WT,na,6693,30,0.656672977473323,-1.341199292523
2,Awake,Multitone,WT,na,7225,30,0.670149809290329,-1.55844501477416
2,Awake,Multitone,WT,na,7760,30,0.59464221748281,-1.64581466209725
2,Awake,Multitone,WT,na,8298,30,0.715872690665108,-2.09828900209164
2,Awake,Multitone,WT,na,8838,30,0.891497146582745,-2.38106846677927
2,Awake,Multitone,WT,na,9380,30,1.34810307807947,-2.65132100005694
2,Awake,Multitone,WT,na,9925,30,1.2930859285471,-2.32876252616113
2,Awake,Multitone,WT,na,10473,30,2.13382423294971,-2.37077162372557
2,Awake,Multitone,WT,na,11023,30,2.10813751660173,-2.89639864617313
2,Awake,Multitone,WT,na,11575,30,2.13448435481258,-3.17469200024213
2,Awake,Multitone,WT,na,12130,30,3.88065175549963,-3.07058125296361
2,Awake,Multitone,WT,na,12688,30,1.03997957937254,-3.27512900201485
2,Awake,Multitone,WT,na,13248,30,0.713768108195406,-3.28640474155086
2,Awake,Multitone,WT,na,13810,30,0.605458264452628,-3.2482242980078
2,Awake,Multitone,WT,na,14375,30,0.730142807633314,-3.05588521113034
2,Awake,Multitone,WT,na,4068,40,0.629899981453617,-0.103603680773172
2,Awake,Multitone,WT,na,4588,40,0.625669119526,-0.360198611883823
2,Awake,Multitone,WT,na,5110,40,0.688041637171754,-0.61033991321187
2,Awake,Multitone,WT,na,5635,40,0.78455711049764,-0.665841611968396
2,Awake,Multitone,WT,na,6163,40,0.736615407377914,-1.06657772234309
2,Awake,Multitone,WT,na,6693,40,0.790262830103259,-1.37488008694218
2,Awake,Multitone,WT,na,7225,40,0.827684662981821,-1.56951787475006
2,Awake,Multitone,WT,na,7760,40,0.926996815742379,-1.66291551180983
2,Awake,Multitone,WT,na,8298,40,1.28199470237904,-2.08395126879445
2,Awake,Multitone,WT,na,8838,40,1.98835708475738,-2.4003626160193
2,Awake,Multitone,WT,na,9380,40,3.1196913864445,-2.67606597744371
2,Awake,Multitone,WT,na,9925,40,2.95279805706923,-2.3514524718198
2,Awake,Multitone,WT,na,10473,40,4.16278435895023,-2.40276750747188
2,Awake,Multitone,WT,na,11023,40,3.52472847413322,-2.92254622156036
2,Awake,Multitone,WT,na,11575,40,2.91879453111351,-3.18494400232538
2,Awake,Multitone,WT,na,12130,40,4.81384799795366,-3.0441992179622
2,Awake,Multitone,WT,na,12688,40,1.44160500319707,-3.17587361785341
2,Awake,Multitone,WT,na,13248,40,0.840472120413309,-3.314283198591
2,Awake,Multitone,WT,na,13810,40,0.650925916526213,-3.15842703975654
2,Awake,Multitone,WT,na,14375,40,0.555695485329029,-3.21192685135427
2,Awake,Multitone,WT,na,4068,50,0.860080751564757,-0.0600886923107665
2,Awake,Multitone,WT,na,4588,50,0.923140357642659,-0.340586500046885
2,Awake,Multitone,WT,na,5110,50,1.06322444988637,-0.583975330127837
2,Awake,Multitone,WT,na,5635,50,1.22791234874199,-0.659273617110603
2,Awake,Multitone,WT,na,6163,50,1.26690822293508,-1.06540135051472
2,Awake,Multitone,WT,na,6693,50,1.46925414098898,-1.36729420111693
2,Awake,Multitone,WT,na,7225,50,1.61555213418708,-1.58259647571957
2,Awake,Multitone,WT,na,7760,50,1.91507881820144,-1.6651091407363
2,Awake,Multitone,WT,na,8298,50,2.84200368629396,-2.07573785420781
2,Awake,Multitone,WT,na,8838,50,4.15085456737479,-2.40869918447016
2,Awake,Multitone,WT,na,9380,50,6.1397378461759,-2.69954475605355
2,Awake,Multitone,WT,na,9925,50,5.74417473227817,-2.38476266897154
2,Awake,Multitone,WT,na,10473,50,6.68058115740233,-2.42821250875403
2,Awake,Multitone,WT,na,11023,50,4.62162881520273,-2.92965953864403
2,Awake,Multitone,WT,na,11575,50,3.92494939223458,-3.18265592017533
2,Awake,Multitone,WT,na,12130,50,4.92929455404402,-2.99478567038863
2,Awake,Multitone,WT,na,12688,50,2.04748637141269,-3.10083360967822
2,Awake,Multitone,WT,na,13248,50,0.981988097342683,-3.2038285179193
2,Awake,Multitone,WT,na,13810,50,0.65925009306334,-3.31958718902265
2,Awake,Multitone,WT,na,14375,50,0.741066943449687,-3.4512329703355
2,Awake,Multitone,WT,na,4068,60,1.4249063838552,-0.0542406172570291
2,Awake,Multitone,WT,na,4588,60,1.45772269419801,-0.329679756063719
2,Awake,Multitone,WT,na,5110,60,1.903592688097,-0.582610962226697
2,Awake,Multitone,WT,na,5635,60,2.46544558777448,-0.65842468550645
2,Awake,Multitone,WT,na,6163,60,2.65470798822974,-1.05310416928932
2,Awake,Multitone,WT,na,6693,60,3.24459398629885,-1.3560631279195
2,Awake,Multitone,WT,na,7225,60,3.42693730899962,-1.57324014235564
2,Awake,Multitone,WT,na,7760,60,4.02721882540805,-1.65808742256859
2,Awake,Multitone,WT,na,8298,60,5.52466029057747,-2.07366215000285
2,Awake,Multitone,WT,na,8838,60,7.10257752473668,-2.41118042477017
2,Awake,Multitone,WT,na,9380,60,9.46786951701247,-2.70963789872596
2,Awake,Multitone,WT,na,9925,60,8.40165505715084,-2.40685552414805
2,Awake,Multitone,WT,na,10473,60,8.60042921367751,-2.43271449586112
2,Awake,Multitone,WT,na,11023,60,5.10462605212391,-2.90058686530403
2,Awake,Multitone,WT,na,11575,60,4.40825649649924,-3.17746430952193
2,Awake,Multitone,WT,na,12130,60,4.47541719990228,-2.92451535960583
2,Awake,Multitone,WT,na,12688,60,2.21638637461239,-3.03537935766725
2,Awake,Multitone,WT,na,13248,60,0.946568621843377,-3.13450896889067
2,Awake,Multitone,WT,na,13810,60,0.661936887942043,-2.92301795818925
2,Awake,Multitone,WT,na,14375,60,0.720181535478839,-2.92840949724118
2,Awake,Multitone,WT,na,4068,70,2.6349764784286,-0.0504561568537538
2,Awake,Multitone,WT,na,4588,70,2.61175669638241,-0.330972929291061
2,Awake,Multitone,WT,na,5110,70,3.54323603911052,-0.581003651212035
2,Awake,Multitone,WT,na,5635,70,4.51848762121452,-0.65942572401211
2,Awake,Multitone,WT,na,6163,70,4.98315487368539,-1.04852404186004
2,Awake,Multitone,WT,na,6693,70,6.02875114604112,-1.34894251158825
2,Awake,Multitone,WT,na,7225,70,6.1548399652504,-1.56407016703619
2,Awake,Multitone,WT,na,7760,70,6.6799807094548,-1.64479425612793
2,Awake,Multitone,WT,na,8298,70,8.43604482319113,-2.07423055938014
2,Awake,Multitone,WT,na,8838,70,9.75123720965765,-2.41431341497957
2,Awake,Multitone,WT,na,9380,70,11.4762324831019,-2.70882497173093
2,Awake,Multitone,WT,na,9925,70,8.95316732999239,-2.40432441813507
2,Awake,Multitone,WT,na,10473,70,9.34378878691049,-2.40444508672903
2,Awake,Multitone,WT,na,11023,70,5.39033455457493,-2.84249075962515
2,Awake,Multitone,WT,na,11575,70,4.19881704664005,-3.14864383256328
2,Awake,Multitone,WT,na,12130,70,3.95955281966781,-2.85615524594094
2,Awake,Multitone,WT,na,12688,70,1.79720300138097,-2.97649275504503
2,Awake,Multitone,WT,na,13248,70,0.824870569095557,-3.04483033635115
2,Awake,Multitone,WT,na,13810,70,0.584777365927841,-3.06481377376845
2,Awake,Multitone,WT,na,14375,70,0.658745666705194,-3.00821084645801
2,Awake,Multitone,WT,na,4068,80,5.44402108513327,-0.0367466086348043
2,Awake,Multitone,WT,na,4588,80,5.35419909146522,-0.32598229493701
2,Awake,Multitone,WT,na,5110,80,6.86532381549581,-0.578510733926662
2,Awake,Multitone,WT,na,5635,80,8.37485204713458,-0.670985349888404
2,Awake,Multitone,WT,na,6163,80,8.6466477638815,-1.06793572022817
2,Awake,Multitone,WT,na,6693,80,10.0532528326052,-1.37870464150991
2,Awake,Multitone,WT,na,7225,80,9.60463555101012,-1.60233117679132
2,Awake,Multitone,WT,na,7760,80,8.84020034578274,-1.68189515875418
2,Awake,Multitone,WT,na,8298,80,11.0116085771707,-2.13059374018665
2,Awake,Multitone,WT,na,8838,80,11.5539337693999,-2.47762715649387
2,Awake,Multitone,WT,na,9380,80,11.9502426570907,-2.75527672496091
2,Awake,Multitone,WT,na,9925,80,8.26323925844748,-2.42907808137147
2,Awake,Multitone,WT,na,10473,80,8.34071961134494,-2.41225850255428
2,Awake,Multitone,WT,na,11023,80,5.0009530351459,-2.82908186256907
2,Awake,Multitone,WT,na,11575,80,2.99213580609607,-3.15420627901871
2,Awake,Multitone,WT,na,12130,80,2.71849599744563,-2.82913030941997
2,Awake,Multitone,WT,na,12688,80,1.06007646337342,-2.99887268128609
