experiment,condition,protocol,genotype,pupilSize,freq,gain1,gain2
4,Awake,Multitone,WT,Large,12688,NaN,NaN
4,Awake,Multitone,WT,Large,13248,NaN,NaN
4,Awake,Multitone,WT,Large,13810,NaN,NaN
4,Awake,Multitone,WT,Large,14375,NaN,NaN
5,Awake,Multitone,WT,Large,4068,14.754564367632,14.9138661673915
5,Awake,Multitone,WT,Large,4588,17.4913082454806,14.2452251462988
5,Awake,Multitone,WT,Large,5110,10.6604131088496,14.9824357712758
5,Awake,Multitone,WT,Large,5635,12.7410630562714,14.7984212066164
5,Awake,Multitone,WT,Large,6163,15.0089040742143,14.9257862302664
5,Awake,Multitone,WT,Large,6693,9.74798674327049,15.1963347109667
5,Awake,Multitone,WT,Large,7225,7.51233390616109,14.9809967594219
5,Awake,Multitone,WT,Large,7760,8.07497372036957,15.9312624238571
5,Awake,Multitone,WT,Large,8298,6.6944747034154,17.6016038606166
5,Awake,Multitone,WT,Large,8838,8.52171652896669,19.6392606580242
5,Awake,Multitone,WT,Large,9380,11.5032007016566,21.7440888896698
5,Awake,Multitone,WT,Large,9925,16.1811473011894,23.7217666658722
5,Awake,Multitone,WT,Large,10473,22.424795492119,25.5178345098393
5,Awake,Multitone,WT,Large,11023,28.9649248208904,26.0065773509385
5,Awake,Multitone,WT,Large,11575,28.9601648494696,26.7432080963697
5,Awake,Multitone,WT,Large,12130,27.7648052571051,25.1164991634867
5,Awake,Multitone,WT,Large,12688,32.7766303649707,27.561312047747
5,Awake,Multitone,WT,Large,13248,34.0523792563488,30.9854591046388
5,Awake,Multitone,WT,Large,13810,NaN,27.1460667890831
5,Awake,Multitone,WT,Large,14375,NaN,NaN
6,Awake,Multitone,WT,Large,4068,NaN,NaN
6,Awake,Multitone,WT,Large,4588,NaN,18.1843178279437
6,Awake,Multitone,WT,Large,5110,22.0204952321732,19.5887668938385
6,Awake,Multitone,WT,Large,5635,22.1735162865382,17.1534152839912
6,Awake,Multitone,WT,Large,6163,NaN,17.4425246697316
6,Awake,Multitone,WT,Large,6693,NaN,15.4297384254777
6,Awake,Multitone,WT,Large,7225,17.3126435608555,15.5441700448417
6,Awake,Multitone,WT,Large,7760,NaN,13.279418937904
6,Awake,Multitone,WT,Large,8298,16.4044735613259,16.2760854135177
6,Awake,Multitone,WT,Large,8838,13.9424652956253,17.8727675687188
6,Awake,Multitone,WT,Large,9380,14.4353779630128,19.514602212006
6,Awake,Multitone,WT,Large,9925,14.22313869663,20.5947315506648
6,Awake,Multitone,WT,Large,10473,16.553635268758,22.9215955616944
6,Awake,Multitone,WT,Large,11023,21.2530473464176,24.6702501993272
6,Awake,Multitone,WT,Large,11575,28.3899463070222,25.9631844880758
6,Awake,Multitone,WT,Large,12130,28.9696473906045,25.7962085889655
6,Awake,Multitone,WT,Large,12688,31.5948376977358,27.2278121268709
6,Awake,Multitone,WT,Large,13248,38.7511531848461,29.0498399386535
6,Awake,Multitone,WT,Large,13810,NaN,29.0102884981837
6,Awake,Multitone,WT,Large,14375,NaN,NaN
7,Awake,Multitone,Alpha9KO,Small,4068,NaN,14.487724045324
7,Awake,Multitone,Alpha9KO,Small,4588,17.0541836169736,14.420485489544
7,Awake,Multitone,Alpha9KO,Small,5110,14.5258441945744,13.9571285045242
7,Awake,Multitone,Alpha9KO,Small,5635,10.0093189113372,14.5693117542403
7,Awake,Multitone,Alpha9KO,Small,6163,NaN,14.9579437677033
7,Awake,Multitone,Alpha9KO,Small,6693,3.931201804611,15.5463097602953
7,Awake,Multitone,Alpha9KO,Small,7225,10.8659944096345,17.6475414626255
7,Awake,Multitone,Alpha9KO,Small,7760,14.7214254392997,18.4637847204209
7,Awake,Multitone,Alpha9KO,Small,8298,14.1888558658275,20.1556234102084
7,Awake,Multitone,Alpha9KO,Small,8838,21.3006614071095,23.7569686284432
7,Awake,Multitone,Alpha9KO,Small,9380,26.2613278910036,25.6596083425532
7,Awake,Multitone,Alpha9KO,Small,9925,29.401200339999,25.3798150136992
7,Awake,Multitone,Alpha9KO,Small,10473,36.2942813847271,29.101563716013
7,Awake,Multitone,Alpha9KO,Small,11023,37.8912412188993,26.881897996041
7,Awake,Multitone,Alpha9KO,Small,11575,34.2701469110415,28.874967855486
7,Awake,Multitone,Alpha9KO,Small,12130,NaN,26.4326733627309
7,Awake,Multitone,Alpha9KO,Small,12688,NaN,NaN
7,Awake,Multitone,Alpha9KO,Small,13248,NaN,NaN
7,Awake,Multitone,Alpha9KO,Small,13810,37.2668149970607,NaN
7,Awake,Multitone,Alpha9KO,Small,14375,NaN,NaN
8,Awake,Multitone,Alpha9KO,Small,4068,18.634501229028,14.8825674472301
8,Awake,Multitone,Alpha9KO,Small,4588,NaN,13.7199550699728
8,Awake,Multitone,Alpha9KO,Small,5110,NaN,15.8189269776895
8,Awake,Multitone,Alpha9KO,Small,5635,11.1021563931267,15.2340142457005
8,Awake,Multitone,Alpha9KO,Small,6163,NaN,17.4117096643643
8,Awake,Multitone,Alpha9KO,Small,6693,17.2689768204696,16.6481686842743
8,Awake,Multitone,Alpha9KO,Small,7225,13.8231704927226,15.4499789093484
8,Awake,Multitone,Alpha9KO,Small,7760,15.378540979957,18.6197254775541
8,Awake,Multitone,Alpha9KO,Small,8298,12.8748210795293,19.536420506255
8,Awake,Multitone,Alpha9KO,Small,8838,17.6373345341184,21.6690380986499
8,Awake,Multitone,Alpha9KO,Small,9380,16.6572315142111,23.7639545893982
8,Awake,Multitone,Alpha9KO,Small,9925,22.8608418937074,25.0469270870562
8,Awake,Multitone,Alpha9KO,Small,10473,30.8267305968689,27.2011893986192
8,Awake,Multitone,Alpha9KO,Small,11023,38.7681956783533,28.8314144772587
8,Awake,Multitone,Alpha9KO,Small,11575,31.9258907355227,27.8375999375306
